address,issue,current_value,length,pixel_width,occurrences,indexability,source_pages,recommended_fix
https://shopline.tw/faq/pos,Page title over 561 pixels,POS 系統服務說明｜專為零售商店設計｜SHOPLINE 全方位零售整合專家,38,643,1,Indexable,https://shopline.tw/faq/overview | https://shopline.tw/faq/plans | https://shopline.tw/faq/design,重寫為可完整顯示的 SERP 標題，保留核心 keyword 與品牌。
https://shopline.tw/payments,Page title over 561 pixels,SHOPLINE Payments 支援多元支付電商金流｜SHOPLINE 全方位零售整合專家,47,693,1,Indexable,https://shopline.tw/ | https://shopline.tw/ | https://shopline.tw/about/press,重寫為可完整顯示的 SERP 標題，保留核心 keyword 與品牌。
https://shopline.tw/online-store,Page title over 561 pixels,網路商店架設超簡單，立即開始你的網路生意｜SHOPLINE 全方位零售整合專家,39,699,1,Indexable,https://shopline.tw/ | https://shopline.tw/ | https://shopline.tw/,重寫為可完整顯示的 SERP 標題，保留核心 keyword 與品牌。
https://shopline.tw/news/shopline-2023-retail-whitepaper,Page title over 561 pixels,SHOPLINE 公布《2023 新零售開店白皮書》解析最新電商趨勢，OMO 全通路整合、分眾行銷、社群商務成品牌致勝三大關鍵,63,1098,1,Indexable,https://shopline.tw/about/press | https://shopline.tw/news/shopline-2023-retail-whitepaper,重寫為可完整顯示的 SERP 標題，保留核心 keyword 與品牌。
https://shopline.tw/news/shopline-2025-omo-retail-integration-expert,Page title over 561 pixels,SHOPLINE 啟動 2025 品牌升級計畫   定位「全方位零售整合專家」｜SHOPLINE 全方位零售整合專家,58,877,1,Indexable,https://shopline.tw/about/press | https://shopline.tw/news/shopline-2025-omo-retail-integration-expert,重寫為可完整顯示的 SERP 標題，保留核心 keyword 與品牌。
https://shopline.tw/news/shopline-partner-summit-2024,Page title over 561 pixels,SHOPLINE 開放生態圈再進化，打造電商界最強擴充功能商店｜SHOPLINE 全方位零售整合專家,50,838,1,Indexable,https://shopline.tw/about/press | https://shopline.tw/news/shopline-partner-summit-2024,重寫為可完整顯示的 SERP 標題，保留核心 keyword 與品牌。
https://shopline.tw/online-store/shop-builder-crowdfunding,Page title over 561 pixels,官網也能做募資專案！SHOP Builder 促購元件打造新品預購、募資頁面｜SHOPLINE 全方位零售整合專家,57,924,1,Indexable,https://shopline.tw/online-store/shop-builder | https://shopline.tw/online-store/shop-builder-crowdfunding,重寫為可完整顯示的 SERP 標題，保留核心 keyword 與品牌。
https://shopline.tw/news/shopline-2022-whitepaper,Page title over 561 pixels,疫後電商大剖析！SHOPLINE 發布《 2022 網路開店白皮書 》｜SHOPLINE 全方位零售整合專家,54,837,1,Indexable,https://shopline.tw/about/press | https://shopline.tw/news/shopline-2022-whitepaper,重寫為可完整顯示的 SERP 標題，保留核心 keyword 與品牌。
https://shopline.tw/news/sc-instagram-live,Page title over 561 pixels,SHOPLINE 社群購物解決方案再升級 串接 Instagram LIVE 新服務上線｜SHOPLINE,53,724,1,Indexable,https://shopline.tw/about/press | https://shopline.tw/news/sc-instagram-live,重寫為可完整顯示的 SERP 標題，保留核心 keyword 與品牌。
https://shopline.tw/pos,Page title over 561 pixels,零售 iPad POS 系統，讓管理店面省時又省力｜SHOPLINE 全方位零售整合專家,44,693,1,Indexable,https://shopline.tw/ | https://shopline.tw/ | https://shopline.tw/,重寫為可完整顯示的 SERP 標題，保留核心 keyword 與品牌。
