priority,score,category,url_or_topic,problem,impact,expected,how,evidence,export_file
P1,15,Technical SEO,94 double slash URLs,Ahrefs 發現 94 筆 `https://shopline.tw//...` URL，SF current crawl 則顯示 Multiple Slashes = 0，代表來源訊號可能集中在 hreflang/canonical 或特定 crawl path。,URL 訊號被拆散，可能造成 hreflang self-reference 缺失、canonical 混淆與 crawl waste。,Indexable pages +10-20；crawl waste -20-40%。,統一產生單斜線 URL；更新 hreflang/canonical/internal links；保留 301 作防線；修完後用 Ahrefs 與 SF 雙源複測。,Ahrefs double slash 94；SF Multiple Slashes 0；SF hreflang missing self 94。,exports/double_slash_urls_2026-05-26.csv
P1,15,Technical SEO,Hreflang self reference,94 個頁面缺少指向 canonical 單斜線 URL 的 hreflang self-reference，多筆 hreflang URL 仍指向雙斜線。,國際版本關聯訊號不完整，可能讓 Google 對語系/地區頁判斷不穩定。,International indexing errors -50-80%。,每頁輸出 canonical URL 的 self-referencing hreflang；同步檢查 x-default 策略；部署後重跑 SF hreflang report。,SF Hreflang Missing Self Reference 94；Missing X-Default 81。,exports/sf_hreflang_missing_self_reference_2026-05-30.csv
P1,14,Content,/online-store/features,排名 3.6 但 CTR 僅 0.23%，高曝光未轉成點擊。,同等排名下損失非品牌流量，並降低商業頁進站機會。,CTR +0.3-0.8pp；clicks +15-40/week。,重寫 title/meta，前段放「網路開店功能 / 電商功能 / 全通路」等 query；加入可掃描功能比較與 FAQ。,"GSC impressions 4,877；CTR 0.23%；avg position 3.6。",exports/sf_page_titles_over_561px_2026-05-30.csv
P1,13,Content,"/faq/about, /about, /showcase",多個排名高頁面 CTR 過低，FAQ/品牌介紹摘要不夠吸引搜尋者。,品牌與比較查詢的點擊被競品或 SERP features 分流。,CTR +0.2-0.6pp。,以搜尋意圖重寫摘要：是什麼、適合誰、費用與案例；增加 FAQ schema 與內部連結。,/faq/about CTR 0.17%；/about CTR 0.73%；/showcase CTR 0.97%。,exports/sf_meta_below_70_2026-05-30.csv
P1,12,AI Visibility,電商平台比較頁 / AI citation,Workduo 顯示 AI 平台 visibility 尚可，但自站 citation share 偏低，競品與第三方文章更容易被引用。,AI 搜尋回答中 SHOPLINE 被提及但不一定引用自站，流量與品牌敘事被外部來源掌控。,AI citation share +2-5pp。,建立「電商平台比較」「開店平台推薦」「SHOPLINE vs 競品」支柱內容，加入可引用定義、表格、FAQ、案例與更新日期。,Workduo 5/18-5/19 visibility 0.625-1；第三方/競品 citation share 高於自站。,exports/issue_export_manifest_2026-05-30.csv
P2,11,Content,/about/pricing,高商業價值 pricing 頁 clicks 下滑，查詢可能需要更多方案比較與導購內容。,可能影響 demo/lead 類 key events。,Organic sessions +5-10%；Key events +3-8%。,補充方案比較、常見費用情境、適合規模、導購 CTA，並從功能頁與 FAQ hub 加強內鏈。,"GSC clicks 114；impressions 6,675；GA4 Organic keyEvents 117。",exports/sf_h1_multiple_2026-05-30.csv
P2,11,Technical SEO,External support links,SF 發現 82 個外部 4xx/403，多數為 support.shoplineapp.com。,使用者從官網跳到無法訪問的支援頁，降低信任與轉換路徑品質。,Broken external links -80-100%。,確認 403 是否為登入限制；改連公開說明頁、更新 help center URL，或移除低價值支援連結。,SF External Client Error 4xx = 82。,exports/sf_external_4xx_403_2026-05-30.csv
P2,10,Technical SEO,Images over 100 KB,158 張圖片超過 100 KB，影響頁面載入與 LCP。,行動裝置速度與使用體驗下降，商業頁可能流失。,Slow pages -20-40%；LCP 改善 5-15%。,優先壓縮首屏與 inlinks 高圖片；轉 WebP/AVIF；補 lazyload 與尺寸屬性。,SF Images Over 100 KB = 158；Missing Size Attributes = 7。,exports/sf_images_over_100kb_2026-05-30.csv
P2,10,Technical SEO,Compression / structured data,Ahrefs 顯示 189 筆 not compressed 與 189 筆 structured data rich result validation error，但本地目前只有 summary-level。,效能與 rich result eligibility 可能受影響，需要 row-level 匯出後排查。,Not compressed -80-100%；Rich result validation errors -50-80%。,從 Ahrefs 下載 affected URLs；依 template 分組修壓縮與 schema；SF 複測 structured data。,Ahrefs Site Audit health score 3；not compressed 189；structured data 189。,exports/ahrefs_not_compressed_summary_2026-05-26.csv
P2,10,Content,Ranking 4-20 pages,/faq/plans、/pos/features、/shopper-app、/ai 位於 4-20 名，缺少更強內容與內鏈推力。,接近首頁可見區但未達穩定流量區間。,Average position +1-3；Organic clicks +5-15%。,從首頁、pricing、features、FAQ hub 補內鏈；每頁新增目標 query cluster 區塊。,/faq/plans pos 6.7；/pos/features 10.3；/shopper-app 11.4；/ai 9.8。,exports/sf_page_titles_below_30_2026-05-30.csv
P2,9,Competitor,91APP / Cyberbiz content gap,91APP 流量高，Cyberbiz Top3 keywords 與 keyword breadth 皆高於 SHOPLINE。,非品牌內容覆蓋不足時，SHOPLINE 容易在比較與教學型搜尋被攔截。,Content gap pages +3-5；non-brand impressions +10-20%。,拆 3 個競品可借鏡角度：平台比較、產業解決方案、成功案例模板；每篇連回 pricing/features。,"91APP organic traffic 55,455；Cyberbiz organic keywords 3,543 / top3 1,119。",exports/issue_export_manifest_2026-05-30.csv
P2,9,Content,電商平台 / 開店平台 topic cluster,Top queries 被品牌詞淹沒，非品牌長尾內容需要轉成 topic cluster。,品牌詞之外的可擴張流量不足，容易依賴既有品牌需求。,Non-brand clicks +5-15%。,建立 pillar：電商平台；support：開店平台推薦、費用比較、功能比較、產業開店指南、FAQ。,GSC Top queries 以 shopline 變體為主；競品非品牌覆蓋較廣。,exports/sf_meta_over_985px_2026-05-30.csv
P2,8,AI Visibility,AI weak / missing topics,AI 平台 5/20-5/24 資料缺口偏多，週報需避免過度解讀單日 AI 數據。,若不標記 data quality，可能把暫時性缺資料誤判成 visibility 下滑。,Data quality confidence +20-30%；誤判減少。,Workduo 區塊固定標資料完整度；低完整度週只輸出方向性建議，不下硬性成效結論。,Workduo 5/18-5/19 有平台值，5/20-5/24 多為 null。,exports/issue_export_manifest_2026-05-30.csv
