address,issue,title,canonical_self,hreflang_values,hreflang_urls,indexability,source_pages,recommended_fix
https://shopline.tw/faq/pos,Hreflang missing self reference,POS 系統服務說明｜專為零售商店設計｜SHOPLINE 全方位零售整合專家,https://shopline.tw/faq/pos,zh-Hant-TW,https://shopline.tw//faq/pos,Indexable,https://shopline.tw/faq/overview | https://shopline.tw/faq/plans | https://shopline.tw/faq/design,新增指向 canonical 單斜線 URL 的 self-referencing hreflang，並移除 // 版本。
https://shopline.tw/payments,Hreflang missing self reference,SHOPLINE Payments 支援多元支付電商金流｜SHOPLINE 全方位零售整合專家,https://shopline.tw/payments,zh-Hant-TW,https://shopline.tw//payments,Indexable,https://shopline.tw/ | https://shopline.tw/ | https://shopline.tw/about/press,新增指向 canonical 單斜線 URL 的 self-referencing hreflang，並移除 // 版本。
https://shopline.tw/online-store/product-3c-accessories,Hreflang missing self reference,3C 配件產業電商開店｜SHOPLINE 全方位零售整合專家,https://shopline.tw/online-store/product-3c-accessories,zh-Hant-TW,https://shopline.tw//online-store/product-3c-accessories,Indexable,https://shopline.tw/online-store | https://shopline.tw/online-store/product-3c-accessories,新增指向 canonical 單斜線 URL 的 self-referencing hreflang，並移除 // 版本。
https://shopline.tw/online-store/outdoor-ecommerce,Hreflang missing self reference,戶外用品產業電商開店｜SHOPLINE 全方位零售整合專家,https://shopline.tw/online-store/outdoor-ecommerce,zh-Hant-TW,https://shopline.tw//online-store/outdoor-ecommerce,Indexable,https://shopline.tw/online-store | https://shopline.tw/online-store/outdoor-ecommerce,新增指向 canonical 單斜線 URL 的 self-referencing hreflang，並移除 // 版本。
https://shopline.tw/online-store,Hreflang missing self reference,網路商店架設超簡單，立即開始你的網路生意｜SHOPLINE 全方位零售整合專家,https://shopline.tw/online-store,x-default | zh-Hant-TW | zh-Hant-HK | en-HK | en-US | ja,https://www.shopline.com//online-store | https://shopline.tw//online-store | https://shopline.hk/features/online-store | https://shopline.hk/en/features/online-store | https://www.shopline.com//online-store | https://jp.shopline.com//online-store,Indexable,https://shopline.tw/ | https://shopline.tw/ | https://shopline.tw/,新增指向 canonical 單斜線 URL 的 self-referencing hreflang，並移除 // 版本。
https://shopline.tw/online-store/bedding,Hreflang missing self reference,寢具電商開店｜SHOPLINE 全方位零售整合專家,https://shopline.tw/online-store/bedding,zh-Hant-TW,https://shopline.tw//online-store/bedding,Indexable,https://shopline.tw/online-store | https://shopline.tw/online-store/bedding,新增指向 canonical 單斜線 URL 的 self-referencing hreflang，並移除 // 版本。
https://shopline.tw/solutions/traffic-and-conversion,Hreflang missing self reference,流量獲取與轉換解決方案｜SHOPLINE 全方位零售整合專家,https://shopline.tw/solutions/traffic-and-conversion,zh-Hant-TW,https://shopline.tw//solutions/traffic-and-conversion,Indexable,https://shopline.tw/ | https://shopline.tw/about/press | https://shopline.tw/ai,新增指向 canonical 單斜線 URL 的 self-referencing hreflang，並移除 // 版本。
https://shopline.tw/compliance-center,Hreflang missing self reference,資格與認證｜SHOPLINE 全方位零售整合專家,https://shopline.tw/compliance-center,x-default | zh-Hant-TW | en-HK | en-US,https://www.shopline.com/compliance-center/introduction | https://shopline.tw//compliance-center | https://shopline.hk/en/compliance-center | https://www.shopline.com/compliance-center/introduction,Indexable,https://shopline.tw/ | https://shopline.tw/about/press | https://shopline.tw/ai,新增指向 canonical 單斜線 URL 的 self-referencing hreflang，並移除 // 版本。
https://shopline.tw/online-store/fragrance-products,Hreflang missing self reference,香氛電商創業開店｜SHOPLINE 全方位零售整合專家,https://shopline.tw/online-store/fragrance-products,zh-Hant-TW,https://shopline.tw//online-store/fragrance-products,Indexable,https://shopline.tw/online-store | https://shopline.tw/online-store/fragrance-products,新增指向 canonical 單斜線 URL 的 self-referencing hreflang，並移除 // 版本。
https://shopline.tw/faq/overview,Hreflang missing self reference,新手問答｜SHOPLINE 全方位零售整合專家,https://shopline.tw/faq/overview,zh-Hant-TW | zh-Hant-HK | en-HK,https://shopline.tw//faq/overview | https://shopline.hk//faq/overview | https://shopline.hk/en/faq/overview,Indexable,https://shopline.tw/ | https://shopline.tw/ | https://shopline.tw/about/press,新增指向 canonical 單斜線 URL 的 self-referencing hreflang，並移除 // 版本。
https://shopline.tw/news/shopline-2023-retail-whitepaper,Hreflang missing self reference,SHOPLINE 公布《2023 新零售開店白皮書》解析最新電商趨勢，OMO 全通路整合、分眾行銷、社群商務成品牌致勝三大關鍵,https://shopline.tw/news/shopline-2023-retail-whitepaper,zh-Hant-TW,https://shopline.tw//news/shopline-2023-retail-whitepaper,Indexable,https://shopline.tw/about/press | https://shopline.tw/news/shopline-2023-retail-whitepaper,新增指向 canonical 單斜線 URL 的 self-referencing hreflang，並移除 // 版本。
https://shopline.tw/about/pricing,Hreflang missing self reference,SHOPLINE 的方案費用與功能｜14 天免費試用所有開店功能,https://shopline.tw/about/pricing,x-default | zh-Hant-TW | zh-Hant-HK | en-HK | en-US | en-AU | en-GB | en-MY | en-SG | ja | zh-Hans-CN,https://www.shopline.com/pricing | https://shopline.tw//about/pricing | https://shopline.hk//about/pricing | https://shopline.hk/en/about/pricing | https://www.shopline.com/pricing | https://au.shopline.com/pricing | https://www.shopline.com/uk/pricing | https://www.shopline.my/about-pricing | https://www.shopline.sg/pricing | https://jp.shopline.com/pricing | https://shoplineapp.cn/pricing,Indexable,https://shopline.tw/ | https://shopline.tw/ | https://shopline.tw/,新增指向 canonical 單斜線 URL 的 self-referencing hreflang，並移除 // 版本。
https://shopline.tw/news/shopline-2025-omo-retail-integration-expert,Hreflang missing self reference,SHOPLINE 啟動 2025 品牌升級計畫   定位「全方位零售整合專家」｜SHOPLINE 全方位零售整合專家,https://shopline.tw/news/shopline-2025-omo-retail-integration-expert,zh-Hant-TW,https://shopline.tw//news/shopline-2025-omo-retail-integration-expert,Indexable,https://shopline.tw/about/press | https://shopline.tw/news/shopline-2025-omo-retail-integration-expert,新增指向 canonical 單斜線 URL 的 self-referencing hreflang，並移除 // 版本。
